epochs	effect	effectSD	selfish	selfishSD	stoch	TTF	BB	Hybrid
345.840	0.878	0.001		0.031	0.000		80.000	0.000	0.000	0.000
359.460	0.805	0.002		0.078	0.000		80.000	0.000	0.000	0.000
381.800	0.673	0.005		0.172	0.002		80.000	0.000	0.000	0.000
433.710	0.470	0.008		0.370	0.011		80.000	0.000	0.000	0.000
567.860	0.229	0.011		0.753	0.036		80.000	0.000	0.000	0.000
774.330	0.052	0.005		0.979	0.007		80.000	0.000	0.000	0.000
818.690	0.004	0.000		0.997	0.001		80.000	0.000	0.000	0.000
821.920	0.000	0.000		1.000	0.000		80.000	0.000	0.000	0.000
821.950	0.000	0.000		1.000	0.000		80.000	0.000	0.000	0.000
822.820	0.000	0.000		1.000	0.000		80.000	0.000	0.000	0.000
